--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| building                                                  | predicate                                                            | object                                                      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1496>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1496>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AK26"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK26>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_451>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_451>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AB114"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB114> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_477>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_477>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AM107"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM107> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1668>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1668>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AT49"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT49>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_112>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_112>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AH59"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH59>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_745>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_745>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL52"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL52>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_98>    |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_98>         |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AI145"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AI145> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_652>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_652>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AK25"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AK25>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1420>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1420>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AR77"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR77>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1247>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1247>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO110"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO110> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_321>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_321>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AC44"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC44>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1670>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1670>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AT48"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT48>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1648>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1648>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL208"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL208> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_111>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_111>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AH58"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AH58>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1451>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1451>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AR76"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR76>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1309>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1309>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AB116"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB116> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1353>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1353>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AC48"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC48>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1152>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1152>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AR79"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR79>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1312>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1312>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO112"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO112> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC46>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AC46_1>  |
